11/11/2019,python3 distribute_work.py -b pgbench -s -c 10 -n 3 -g m5d -d 4,,,,,,,,,,,
instanceID,experimentID,setId,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions,mountPoint
i-00201d4dd6e17aac2,1573493686-0,0,m5d.large,60.41213942,10,10,1,TPC-B (sort of),simple,60 s,124782,data_directory = '/var/lib/postgresql/9.5/main'
i-00201d4dd6e17aac2,1573493686-0,0,m5d.large,60.34663963,10,10,1,TPC-B (sort of),simple,60 s,124280,data_directory = '/var/lib/postgresql/9.5/main'
i-00201d4dd6e17aac2,1573493686-0,0,m5d.large,60.32183552,10,10,1,TPC-B (sort of),simple,60 s,124011,data_directory = '/var/lib/postgresql/9.5/main'
i-002280d80dc30f869,1573493686-0,0,m5d.large,60.30209064,10,10,1,TPC-B (sort of),simple,60 s,125381,data_directory = '/var/lib/postgresql/9.5/main'
i-002280d80dc30f869,1573493686-0,0,m5d.large,60.25965238,10,10,1,TPC-B (sort of),simple,60 s,124771,data_directory = '/var/lib/postgresql/9.5/main'
i-002280d80dc30f869,1573493686-0,0,m5d.large,60.23342443,10,10,1,TPC-B (sort of),simple,60 s,124746,data_directory = '/var/lib/postgresql/9.5/main'
i-006e7104fede9e6a1,1573493686-0,0,m5d.large,60.38887405,10,10,1,TPC-B (sort of),simple,60 s,126249,data_directory = '/var/lib/postgresql/9.5/main'
i-006e7104fede9e6a1,1573493686-0,0,m5d.large,60.35574889,10,10,1,TPC-B (sort of),simple,60 s,124795,data_directory = '/var/lib/postgresql/9.5/main'
i-006e7104fede9e6a1,1573493686-0,0,m5d.large,60.35204768,10,10,1,TPC-B (sort of),simple,60 s,124753,data_directory = '/var/lib/postgresql/9.5/main'
i-0081b4ee38f64360d,1573493686-0,0,m5d.large,60.36423945,10,10,1,TPC-B (sort of),simple,60 s,124163,data_directory = '/var/lib/postgresql/9.5/main'
